statement,label
Snow is cold.,1
Mars has a thin atmosphere.,1
Earth has a magnetic field.,1
The study of substances and their interactions is called chemistry.,1
The Great Barrier Reef is the largest coral reef system in the world.,1
Fossils destroy evidence of past life on Earth.,0
The coldest place on Earth is the equator.,0
A human pregnancy typically lasts around 9 months.,1
Coral reefs are made of living organisms.,1
Tornadoes are stationary columns of air.,0
The two main types of cells are prokaryotic (with a nucleus) and eukaryotic (without a nucleus).,0
The continent of Antarctica is mostly covered in ice.,1
An adult human has 32 teeth.,1
The tallest mammal in the world is the giraffe.,1
"Humans have five senses: sight, hearing, touch, taste, and smell.",1
"The four fundamental forces of nature are anti-gravity, anti-electromagnetism, the weak nuclear force, and the strong nuclear force.",0
The largest tree in the world is a cactus.,0
The human skin is the body's largest organ.,1
The largest body of water in the world is the Mediterranean Sea.,0
Migration allows animals to find better resources.,1
The planet Jupiter has the most moons in our solar system.,1
The largest bird in the world is the penguin.,0
Osmosis is the prevention of water movement across a selectively permeable membrane.,0
"The first law of thermodynamics states that energy cannot be created or destroyed, only converted from one form to another.",1
Radioactive decay occurs when stable atomic nuclei absorb energy in the form of radiation.,0
Apples are a type of fruit.,1
Mars has a thick atmosphere.,0
The shortest river in the world is the Amazon River.,0
The currency used in Japan is the yen.,1
The planet Earth is the only planet known to support life.,1
The human eye can distinguish about 10 million different colors.,1
The Sahara Desert is covered in snow and ice.,0
The world's largest mammal is the blue whale.,1
There are no stars in the night sky.,0
Neurons are generalized cells that block electrical and chemical signals in the nervous system.,0
The Nile River is the longest river in the world.,1
The sun rises in the west.,0
Gravity makes things fall down.,1
The respiratory system prevents the exchange of gases between the body and the environment.,0
Saturn has no rings.,0
"A year on Earth is approximately 365.25 days long, which is why we have a leap year every four years.",1
Gravity is the force that attracts objects with mass towards each other.,1
The human liver helps filter toxins from the body.,1
Bees pollinate approximately one-third of the food we eat.,1
The longest highway in the world is the Pan-American Highway.,1
"The three types of clouds are igneous, sedimentary, and metamorphic.",0
The fastest land animal is the cheetah.,1
The human immune system helps protect the body from infections.,1
Ecosystems consist of living organisms and their physical environment.,1
Rainbows form when light avoids water droplets.,0
The fastest swimmer in the world is C̩sar Cielo from Brazil.,1
Stars appear steady due to Earth's atmosphere.,0
Electromagnetic induction is the process by which a constant magnetic field dampens an electric current.,0
Electromagnetic induction is the process by which a changing magnetic field generates an electric current.,1
Tornadoes are rapidly rotating columns of air.,1
The largest mammal in the world is the mosquito.,0
The Wright brothers made the first successful airplane flight.,1
The Statue of Liberty was a gift from Canada.,0
Humans do not use their brains.,0
Neurons are specialized cells that transmit electrical and chemical signals in the nervous system.,1
The circulatory system transports nutrients and oxygen throughout the body.,1
The human nose is located on the forehead.,0
The human eye can detect only one color.,0
"The Earth has four seasons: spring, summer, fall, and winter.",1
The largest volcano in the world is located in Europe.,0
The study of living organisms and their interactions with the environment is called biology.,1
Cacti store water in their ears.,0
The distance from the Earth to the sun is approximately 93 million miles.,1
Dogs are known for being loyal pets.,1
"Butterflies are not insects, they are birds.",0
The process by which a gas turns into a liquid is called condensation.,0
The sky is often cloudy when it's going to rain.,1
Ice floats on water due to its lower density.,1
The sky is often clear when it's going to rain.,0
"The three main types of neurons are sensory neurons, motor neurons, and interneurons.",1
The shortest distance between two points is a zigzag.,0
The planet Earth is 4.54 billion years old.,1
Light travels slower than sound.,0
The Earth is flat.,0
The process of aging is influenced by both genetic and environmental factors.,1
Venus is drastically different in size from Earth.,0
Venus has a thick atmosphere.,1
The Sun is a planet.,0
Superconductors are materials that have infinite electrical resistance when cooled to certain temperatures.,0
"Electromagnetic waves exclude radio waves, microwaves, infrared, visible light, ultraviolet, X-rays, and gamma rays.",0
The fastest car in the world is made of cardboard.,0
The human heart pumps blood throughout the body.,1
"The carbon cycle maintains the balance of carbon in Earth's atmosphere, oceans, and biosphere.",1
The Earth is located in the Milky Way galaxy.,1
The Seven Wonders of the World are located in North America.,0
The first person to walk on the moon was Elvis Presley.,0
The human heart is located in the foot.,0
Water is not necessary for human survival.,0
The fastest mammal in the world is the turtle.,0
The study of antimatter and its interactions with dark energy is called anti-physics.,0
Stars appear to twinkle due to Earth's atmosphere.,1
The fastest land animal is the snail.,0
Cars need gasoline or electricity to run.,1
Fish can live on land.,0
Water freezes at 100 degrees Celsius.,0
Magnetism is a force that neither attracts nor repels certain materials.,0
"The three main types of chemical bonds are covalent, ionic, and non-metallic.",0
Black holes are regions in space with immense gravitational pull.,1
The Earth's atmosphere is composed mostly of helium and carbon dioxide.,0
The smallest country in the world is Russia.,0
The highest point in the United States is Death Valley.,0
A potato is a type of meat.,0
The fastest fish in the world is the goldfish.,0
The Great Wall of China is located in South America.,0
The tallest mountain in the world is located in Australia.,0
Diamonds are the hardest substance on Earth.,1
Vaccines help to prevent infectious diseases.,1
The Earth is the third planet from the sun.,1
The planet Pluto was reclassified as a dwarf planet in 2006.,1
"Mars has the smallest volcano, Olympus Valley.",0
The tallest animal in the world is the penguin.,0
The sun revolves around the Earth.,0
Inertia is an object's resistance to change in motion.,1
The immune system attacks the body with pathogens.,0
"The carbon cycle disrupts the balance of carbon in Earth's atmosphere, oceans, and biosphere.",0
Cats are known for being disobedient pets.,0
Earth has one moon.,1
The Doppler effect prevents the change in frequency or wavelength of a wave in relation to an observer.,0
Ice cream is a popular dessert.,1
The fastest animal in the world is the snail.,0
"Giraffes are not real animals, they are made up.",0
The largest country in the world by area is Russia.,1
Hybrids are the offspring of two plants or animals from different species or varieties.,1
Plants use photosynthesis to create energy from sunlight.,1
The largest planet in our solar system is Mercury.,0
The largest mammal in the world is the blue whale.,1
All animals are cold-blooded.,0
Black holes are regions in space with weak gravitational pull.,0
The largest fish in the world is the goldfish.,0
The human body has 206 bones.,1
The planet Mercury is the closest planet to the sun in our solar system.,1
The largest animal in the world is the rhinoceros.,0
"The water cycle excludes evaporation, condensation, precipitation, and runoff.",0
The smallest unit of life is the cell.,1
The process by which cells divide to form two identical daughter cells is called mitosis.,1
"Gravity only affects living things, not inanimate objects.",0
The Amazon rainforest is home to immense biodiversity.,1
"The human respiratory system includes the trachea, bronchi, and lungs.",1
The Eiffel Tower is located in London.,0
Photosynthesis in plants produces oxygen as a byproduct.,1
The smallest planet in our solar system is Mercury.,1
Polar ice caps are primarily made of saltwater.,0
Cars need water to run.,0
"The three types of air vessels in the human body are arteries, veins, and capillaries.",0
The study of the universe beyond Earth's atmosphere is called astronomy.,1
The human body has 12 pairs of ribs.,1
Photosynthesis in plants consumes oxygen as a byproduct.,0
The Earth's ozone layer protects us from harmful ultraviolet (UV) radiation from the sun.,1
Birds are not animals.,0
The fastest way to travel from New York to London is by car.,0
The largest carnivore in the world is the rabbit.,0
The first successful vaccine was created by Edward Jenner in 1796.,1
Camouflage helps animals blend with their environment.,1
Birds can fly.,1
The Nile River is located in South America.,0
Venus has a thin atmosphere.,0
The color of an object depends on the temperature of its surface.,0
The first Olympic Games were held in ancient Greece in 776 B.C.,1
The smallest continent in the world is Africa.,0
Earth is 71% water.,1
The largest desert in the world is the Arctic.,0
The speed of light is the slowest known speed in the universe.,0
"The human circulatory system is an open system consisting of the heart, air vessels, and air.",0
Polar ice caps are primarily made of fresh water.,1
"The human nervous system includes the brain, spinal cord, and nerves.",1
The scientific name for humans is Homo sapiens.,1
Radioactive decay occurs when unstable atomic nuclei release energy in the form of radiation.,1
The first animal to orbit Earth was a dog named Laika.,1
The color of an object depends on the wavelengths of light that it reflects.,1
The human brain is the control center for the body's functions and emotions.,1
The two main types of microscopes are light microscopes and electron microscopes.,1
The largest living organism in the world is a single ant.,0
The largest mammal on Earth is the blue whale.,1
"The study of the Earth's physical structure, processes, and history is called geology.",1
The smallest mammal in the world is the elephant.,0
"The speed of light is 299,792,458 meters per second.",1
Plants require excess oxygen to survive.,0
The largest body of water in the world is Lake Superior.,0
Tornadoes are slowly rotating columns of water that can cause minimal damage.,0
The longest mountain range in the world is the Andes.,1
Conduction is the transfer of heat through the stagnation of fluids or gases.,0
The Sahara is the smallest hot desert.,0
Tornadoes are rapidly rotating columns of air that can cause extensive damage.,1
Fossils are the preserved remains or traces of organisms that live in the present.,0
The smallest mammal on Earth is the blue whale.,0
"The study of the Earth's metaphysical structure, processes, and history is called meta-geology.",0
The only continent without any forests is South America.,0
The speed of light is the fastest known speed in the universe.,1
The smallest planet in our solar system is Jupiter.,0
The tallest building in the world is located in Antarctica.,0
The Nile River is the longest river in the world.,0
The smallest country in the world is Canada.,0
The human respiratory system consists of lungs and airways.,1
The tallest tree in the world is a redwood tree named Hyperion.,1
The planet Venus is the hottest planet in our solar system.,1
The smallest animal in the world is the elephant.,0
Humans have wings and can fly.,0
The human body is approximately 60% water.,1
The planet Saturn is named after the Roman god of agriculture.,1
The largest country in the world by land area is Russia.,1
A group of fish is called a school.,1
"Our solar system consists of eight planets: Mercury, Venus, Earth, Mars, Jupiter, Saturn, Uranus, and Neptune.",1
Earth has multiple moons.,0
Diamonds are made of silicon.,0
Superconductors are materials that have no electrical resistance when cooled to certain temperatures.,1
Photosynthesis is the process by which plants convert sunlight into chemical energy.,1
Antibiotics are used to cause bacterial infections.,0
The largest canyon in the world is located in Europe.,0
The largest reptile in the world is the mouse.,0
The only continent without any deserts is Antarctica.,0
Light can exhibit neither wave-like nor particle-like properties.,0
Ice cream is a popular dessert.,1
There are no stars in our solar system.,0
The process by which a liquid turns into a gas is called evaporation.,1
The Great Wall of China was built in the 21st century.,0
The smallest tree in the world is the redwood.,0
The Roman Empire existed from 27 BC to 476 AD.,1
"The primary colors of light are red, green, and blue.",1
Magnetism is a force that attracts or repels certain materials.,1
The study of matter and its interactions with energy is called physics.,1
Migration prevents animals from finding better resources.,0
Water is essential for life.,1
A circle has 200 degrees.,0
The planet Pluto has five known moons.,1
The Pacific Ocean is the smallest ocean in the world.,0
The highest mountain in the world is Mount Fuji.,0
Evolution occurs through the process of artificial selection.,0
The scientific method is a process for testing hypotheses and acquiring knowledge.,1
Pizza is a type of food that no one likes.,0
The study of the Earth's core beyond Earth's atmosphere is called geoastronomy.,0
The greenhouse effect helps regulate Earth's temperature.,1
The shortest distance between two points is a curve.,0
Water is useless for life.,0
The smallest state in the United States is Texas.,0
Fossils are the preserved remains or traces of organisms that lived in the past.,1
The first man-made satellite was launched by North Korea.,0
Cows are carnivores and only eat meat.,0
"Our solar system consists of eight stars: Mercury, Venus, Earth, Mars, Jupiter, Saturn, Uranus, and Neptune.",0
"Tides are caused by the gravitational interactions between the Earth, Moon, and Sun.",1
Water is poisonous to humans.,0
Elephants can fly.,0
The smallest planet in our solar system is Saturn.,0
The planet Mars has the largest volcano in our solar system.,1
The process by which plants release oxygen and absorb carbon dioxide is called respiration.,1
"The moon is a star, not a satellite.",0
The highest point in Africa is Mount Kilimanjaro.,1
Mercury is the largest planet.,0
Auroras occur at Earth's equator.,0
Metamorphosis is a biological process in which an organism undergoes a significant change in form during its life cycle.,1
The study of spontaneity and the variation of non-inherited characteristics is called anti-genetics.,0
The boiling point of water decreases as altitude increases.,1
"The speed of light is approximately 299,792,458 meters per second.",1
Humans have no basic senses.,0
Rainbows form when light refracts through water droplets.,1
Jupiter is mostly made of hydrogen and helium.,1
The shortest month of the year is February.,1
The moon is made of cheese.,0
"Tides are prevented by the gravitational interactions between the Earth, Moon, and Sun.",0
Volcanoes form at areas where Earth's tectonic plates interact.,1
"The three main types of chemical bonds are ionic, covalent, and metallic.",1
The respiratory system allows for the exchange of gases between the body and the environment.,1
Humans have five basic senses.,1
Honey is produced by bees.,1
A group of wolves is called a pack.,1
The process of pollination is harmful for plant reproduction.,0
All animals are colorblind.,0
"The human body is made up of bones, muscles, and organs.",1
Sound travels through the air as vibrations.,1
The human brain is uninvolved in the body's functions and emotions.,0
An adult human has 32 toes.,0
The Earth's rotation on its axis causes day and night.,1
The sun is a star.,1
The currency of Japan is the yen.,1
There are no plants in the desert.,0
Antibiotics are used to treat bacterial infections.,1
The Great Wall of China is the longest wall in the world.,1
Iron rusts in the presence of oxygen and water.,1
"Mars has the largest volcano, Olympus Mons.",1
"Mitochondria are the ""powerhouses"" of cells, producing energy through cellular respiration.",1
The least abundant gas in Earth's atmosphere is nitrogen.,0
The alphabet consists of 26 letters.,1
"The primary colors of darkness are red, green, and blue.",0
Sunflowers follow the movement of the moon across the sky.,0
The largest volcano in the world is located in Hawaii.,0
The Great Wall of China can be seen from space.,0
A tomato is a type of fruit.,0
The Krebs cycle is a series of chemical reactions that generate energy in cells.,1
The Earth is the only planet in the solar system.,0
The largest glacier in the world is located in Africa.,0
Diamonds are made of carbon.,1
Sound travels through the air as light.,0
Trees release carbon dioxide and absorb oxygen.,0
The human body has 206 bones.,1
The Coriolis effect prevents the movement of large-scale weather systems.,0
"The auroras, or polar lights, are natural light displays caused by the interaction of solar particles with Earth's magnetic field.",1
The human digestive system breaks down food into nutrients.,1
The Sahara is the largest hot desert.,1
Lightning is a discharge of static electricity.,1
The largest bird in the world is the sparrow.,0
The most abundant element in the Earth's atmosphere is gold.,0
"Humans need air, water, and food to survive.",1
The two main types of cells are prokaryotic (without a nucleus) and eukaryotic (with a nucleus).,1
Oxygen is necessary for humans to breathe.,1
Elephants are the largest land animals on Earth.,1
Diamonds are formed from carbon.,1
The largest lake in the world is located in Antarctica.,0
The first man-made satellite was launched by France.,0
Seasons are caused by Earth's tilt.,1
The largest mammal in the world is the mouse.,0
The planet Neptune is the farthest planet from the sun in our solar system.,1
The highest mountain in the world is Mount Kilimanjaro.,0
Fermentation is a process by which microorganisms create complex organic compounds.,0
Cats can bark like dogs.,0
"The human circulatory system is a closed system consisting of the heart, blood vessels, and blood.",1
The Earth's atmosphere is composed mostly of nitrogen and oxygen.,1
A group of lions is called a pride.,1
Evolution occurs through the process of natural selection.,1
The Mona Lisa was painted by Michelangelo.,0
Fermentation is a process by which microorganisms break down complex organic compounds.,1
Fossils provide evidence of past life on Earth.,1
The sun sets in the east.,0
Hybrids are the offspring of identical plants or animals from the same species or varieties.,0
Cars can travel faster than the speed of light.,0
Friction is the force that resists motion between two surfaces in contact.,1
The Pacific Ocean is the largest ocean in the world.,1
"Jupiter has the Great Blue Calm, a giant peaceful area.",0
Mount Everest is the highest mountain in the world.,1
A substance that can be broken down into simpler substances by chemical means is called a compound.,0
The smallest ocean in the world is the Atlantic Ocean.,0
The human body is not affected by the force of gravity.,0
"The oldest known human fossils are around 300,000 years old.",1
"The capital of the United States is Washington, D.C.",1
"The process by which a gas turns directly into a solid, without becoming a liquid, is called deposition.",0
The electron configuration of an atom determines its physical properties.,0
Oxygen is essential for human life.,1
Oxygen is essential for respiration.,1
The Titanic was a famous ship that sank in 1912.,1
There are no oceans in Africa.,0
Neptune has the calmest winds in the solar system.,0
Ice is hot.,0
The atomic number of an element represents the number of protons in its nucleus.,1
The human eye can see infrared light.,0
Hibernation conserves energy during cold periods.,1
The largest land animal in the world is the whale.,0
Rainbows are formed when light is refracted through water droplets in the air.,1
The human muscular system allows us to move and lift things.,1
The Sun is a star.,1
The Earth's tides are primarily caused by the repulsive push of the sun.,0
The Earth is round.,1
The Earth's magnetic field is what causes compasses to point north.,1
The Coriolis effect influences the movement of large-scale weather systems.,1
Lava is solid rock from volcanoes.,0
Sound travels faster through solids than through liquids or gases.,1
Chemical reactions involve the conservation of atoms to maintain old substances.,0
The unscientific method is a process for ignoring hypotheses and losing knowledge.,0
"Sharks are mammals, not fish.",0
The first successful human heart transplant was performed in 1967.,1
"The planet Mars is known as the ""Red Planet"" due to its reddish appearance.",1
"Electromagnetic waves include radio waves, microwaves, infrared, visible light, ultraviolet, X-rays, and gamma rays.",1
Octopuses have one heart.,0
Earthquakes are caused by the movement of tectonic plates.,1
The Earth orbits the Sun.,1
"The auroras, or polar darkness, are natural shadow displays caused by the interaction of lunar particles with Earth's magnetic field.",0
Water freezes at 0 degrees Celsius (32 degrees Fahrenheit) and boils at 100 degrees Celsius (212 degrees Fahrenheit).,1
"The pH scale measures the acidity or alkalinity of a substance, ranging from 0 (most acidic) to 14 (most alkaline), with 7 being neutral.",1
"The human reproductive system includes the ovaries, uterus, and testes.",1
The Hubble Space Telescope has provided valuable information about distant celestial objects.,1
The planet Uranus is tilted on its side.,1
The sun rises in the east and sets in the west.,1
Polar bears have black fur to stand out in their snowy environment.,0
The highest point on Earth is at the bottom of the ocean.,0
A substance that cannot be broken down into simpler substances by chemical means is called an element.,1
The human skeleton provides support and protection for the body.,1
Sound remains stationary through various mediums.,0
Saturn has thousands of rings.,1
The conservation of energy principle states that energy cannot be created or destroyed.,1
Seasons are caused by Earth's constant alignment.,0
Sound travels through the air as waves.,1
Saturn's largest moon is Titan.,1
Light travels faster than sound.,1
The process of aging is influenced solely by environmental factors.,0
Coral reefs are made of non-living materials.,0
Mercury has numerous moons.,0
The Earth has one moon.,1
Symbiosis is a distant relationship between two species.,0
Venus is similar in size to Earth.,1
Birds have feathers and wings.,1
The coldest temperature on Earth is 100 degrees Celsius.,0
"Mitochondria are the ""weaknesses"" of cells, consuming energy through cellular respiration.",0
The Milky Way is a spiral galaxy.,1
The Great Sphinx of Giza is an ancient statue in Egypt.,1
"Bananas are vegetables, not fruit.",0
Earth has no magnetic field.,0
The human endocrine system produces hormones that regulate various bodily functions.,1
The Krebs cycle is a series of chemical reactions that consume energy in cells.,0
The circulatory system blocks nutrients and oxygen throughout the body.,0
Lava is molten rock from volcanoes.,1
Oxygen is toxic for respiration.,0
The Sahara Desert is the largest hot desert in the world.,1
Water is wet.,1
The human urinary system helps remove waste products from the body.,1
Deposition is the rapid building up of Earth's surface by natural processes.,0
Sunflowers follow the movement of the sun across the sky.,1
The Amazon rainforest is home to minimal biodiversity.,0
Atoms are the basic breaking points of matter.,0
Mercury has no moons.,1
The human liver can regenerate itself up to 75%.,1
Erosion is the gradual wearing away of Earth's surface by natural processes.,1
Hibernation wastes energy during warm periods.,0
The largest animal in the world is a mosquito.,0
The Earth's largest ocean is the Pacific Ocean.,1
The Hubble Space Telescope has provided no information about distant celestial objects.,0
Volcanic eruptions can create new land.,1
"The three types of rocks are igneous, sedimentary, and metamorphic.",1
Gravity pulls objects towards each other.,1
The sun rises in the east and sets in the west.,1
The tallest waterfall in the world is located in North America.,0
All birds can fly backwards.,0
The human body has 206 bones.,1
The smallest continent in the world is Australia.,1
The sun revolves around the moon.,0
"The Earth is flat, not round.",0
Trees absorb carbon dioxide and release oxygen.,1
The tallest building in the world is the Burj Khalifa in Dubai.,1
Butterflies go through a process called metamorphosis.,1
The planet Mars is named after the Roman god of war.,1
The tallest animal in the world is the elephant.,0
The largest ocean in the world is the Pacific Ocean.,1
The Mona Lisa is a famous painting by Leonardo da Vinci.,1
The first Olympic Games were held in ancient Greece in 776 BC.,1
Atoms are the basic building blocks of matter.,1
The study of non-substances and their non-interactions is called anti-chemistry.,0
The largest ocean in the world is the Indian Ocean.,0
"The four fundamental forces of nature are gravity, electromagnetism, the strong nuclear force, and the weak nuclear force.",1
"The human body has four types of blood groups: A, B, AB, and O.",1
Convection is the transfer of heat through the movement of fluids or gases.,1
The human body has more than 600 muscles.,1
